#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-19T19:16:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-19T19:16:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RAICRS&-out=DEICRS&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
056.2539737084;-38.8590157020; 17514;03 45 00.80;-38 51 33.1;10.64;056.25335350;-38.85919328;   8.72;  198.70;   73.06;  1.60; 0.598; ;056.25397371;-38.85901570
056.2564567062;-70.0241014598; 17515;03 45 01.57;-70 01 25.9; 7.57;056.25652394;-70.02386363;  19.15;   -9.45;  -97.85;  0.57; 0.595; ;056.25645671;-70.02410146
056.2581329644;-19.1348670365; 17517;03 45 01.95;-19 08 05.3; 8.74;056.25812697;-19.13481704;   4.50;    2.33;  -20.57;  1.17; 0.600; ;056.25813296;-19.13486704
056.2587876960;-51.3166584282; 17516;03 45 02.06;-51 19 00.2; 9.55;056.25858369;-51.31671122;   6.44;   52.46;   21.72;  1.57; 0.710; ;056.25878770;-51.31665843
056.2603378668;-33.4517768537; 17518;03 45 02.48;-33 27 06.4; 9.08;056.26034547;-33.45179151;   0.40;   -2.61;    6.03;  1.01; 0.865; ;056.26033787;-33.45177685
056.2613146801;+02.6212673510; 17519;03 45 02.72;+02 37 17.0; 6.65;056.26131923;+02.62140091;  12.34;   -1.87;  -54.95;  0.75; 0.487; ;056.26131468;+02.62126735
056.2615450168;+06.6366555583; 17520;03 45 02.77;+06 38 11.9; 8.16;056.26154487;+06.63662960;   4.81;    0.06;   10.68;  1.03; 0.202; ;056.26154502;+06.63665556
056.2678696032;-27.6073574014; 17522;03 45 04.29;-27 36 26.5; 8.69;056.26787945;-27.60735570;   2.02;   -3.59;   -0.70;  1.06; 1.209; ;056.26786960;-27.60735740
056.2680189042;+40.0795179019; 17521;03 45 04.31;+40 04 46.2; 7.51;056.26797853;+40.07951377;   4.39;   12.71;    1.70;  0.89; 1.011; ;056.26801890;+40.07951790
056.2796749338;+74.5425789422; 17523;03 45 07.09;+74 32 33.1; 6.71;056.27955638;+74.54253422;   3.67;   13.00;   18.40;  0.63; 1.004; ;056.27967493;+74.54257894
056.2838929617;-63.7291872743; 17524;03 45 08.14;-63 43 44.7; 7.36;056.28391630;-63.72909275;   5.76;   -4.25;  -38.89;  0.55; 1.052; ;056.28389296;-63.72918727
056.2841892659;+26.2925054764; 17525;03 45 08.19;+26 17 33.5;11.49;056.28414429;+26.29262540;  13.35;   16.59;  -49.34;  3.18; 0.823; ;056.28418927;+26.29250548
056.2861973112;+48.4873329226; 17526;03 45 08.69;+48 29 14.4; 7.99;056.28621231;+48.48732619;   1.42;   -4.09;    2.77;  0.94; 1.461; ;056.28619731;+48.48733292
056.2905793786;+24.8392600089; 17527;03 45 09.73;+24 50 21.7; 5.66;056.29052841;+24.83937337;   8.87;   19.03;  -46.64;  0.89;-0.064; ;056.29057938;+24.83926001
056.2978578720;-65.6327362432; 17528;03 45 11.47;-65 37 57.8; 9.46;056.29780120;-65.63272183;   1.15;    9.62;   -5.93;  0.77; 0.979; ;056.29785787;-65.63273624
056.2984660611;+42.5785486235; 17529;03 45 11.64;+42 34 42.8; 3.77;056.29851422;+42.57854437;   5.86;  -14.59;    1.75;  0.74; 0.425; ;056.29846606;+42.57854862
056.3001145439;-16.4104591916; 17530;03 45 12.01;-16 24 37.7; 8.88;056.30002348;-16.41048515;   0.88;   35.94;   10.68;  1.22; 0.428; ;056.30011454;-16.41045919
056.3020604315;+24.4672776060; 17531;03 45 12.48;+24 28 02.6; 4.30;056.30200876;+24.46737879;   8.75;   19.35;  -41.63;  1.08;-0.110; ;056.30206043;+24.46727761
056.3028150063;-51.2598684424; 17532;03 45 12.67;-51 15 35.7; 7.80;056.30278040;-51.25991105;   4.49;    8.91;   17.53;  0.69; 0.948; ;056.30281501;-51.25986844
056.3108394166;+48.1952266443; 17533;03 45 14.61;+48 11 42.8; 7.95;056.31086319;+48.19523012;   5.78;   -6.52;   -1.43;  0.97; 0.163; ;056.31083942;+48.19522664
056.3161524246;-47.3594761879; 17534;03 45 15.88;-47 21 34.0; 5.72;056.31616344;-47.35945424;   8.93;   -3.07;   -9.03;  0.54; 0.961; ;056.31615242;-47.35947619
056.3171497217;-60.9095887079; 17535;03 45 15.91;-60 54 35.9;10.88;056.31628821;-60.90998511;  23.03;  172.33;  163.09;  1.34; 1.130; ;056.31714972;-60.90958871
056.3190374806;+37.4057487446; 17536;03 45 16.57;+37 24 20.8;10.36;056.31903182;+37.40576763;   4.49;    1.85;   -7.77;  1.85; 0.670; ;056.31903748;+37.40574874
056.3230848534;-16.4891723798; 17538;03 45 17.52;-16 29 21.1; 9.86;056.32300777;-16.48918480;   2.00;   30.41;    5.11;  1.77; 0.927; ;056.32308485;-16.48917238
056.3231210983;+04.4379332049; 17537;03 45 17.53;+04 26 16.4; 8.10;056.32305296;+04.43787825;   2.00;   27.95;   22.61;  1.01; 1.255; ;056.32312110;+04.43793320
056.3340360813;-20.5240061357; 17539;03 45 20.18;-20 31 26.3; 7.44;056.33409079;-20.52396416;   4.96;  -21.08;  -17.27;  0.90; 0.205; ;056.33403608;-20.52400614
056.3374843690;+60.3509400917; 17540;03 45 21.06;+60 21 03.4; 8.02;056.33775642;+60.35094996;  12.87;  -55.37;   -4.06;  1.09; 0.581; ;056.33748437;+60.35094009
056.3442652498;+49.8617259498; 17541;03 45 22.61;+49 51 42.4; 8.04;056.34419150;+49.86178212;   2.51;   19.56;  -23.11;  2.88; 0.152; ;056.34426525;+49.86172595
056.3465231099;-32.6373323589; 17542;03 45 23.15;-32 38 14.5; 8.46;056.34646599;-32.63735122;   1.40;   19.79;    7.76;  0.93; 1.018; ;056.34652311;-32.63733236
056.3488967072;-71.6581323003; 17543;03 45 23.70;-71 39 29.7; 6.26;056.34873335;-71.65823679;   7.04;   21.15;   42.99;  0.53;-0.123; ;056.34889671;-71.65813230
056.3505538119;-27.8624791904; 17544;03 45 23.92;-27 51 46.2; 8.21;056.34967157;-27.86282003;  45.95;  320.90;  140.23;  1.41; 1.012; ;056.35055381;-27.86247919
056.3534598186;-29.6518282232; 17545;03 45 24.83;-29 39 06.6; 9.93;056.35347260;-29.65183306;   1.37;   -4.57;    1.99;  1.52; 1.003; ;056.35345982;-29.65182822
056.3557358802;-07.9371228626; 17546;03 45 25.37;-07 56 13.6; 8.10;056.35570464;-07.93712488;   5.01;   12.73;    0.83;  0.99; 0.009; ;056.35573588;-07.93712286
056.3647376648;+28.6687086228; 17547;03 45 27.52;+28 40 07.8; 7.41;056.36467927;+28.66882772;   8.27;   21.08;  -49.00;  1.14; 0.128; ;056.36473766;+28.66870862
056.3648216852;+47.6603528165; 17548;03 45 27.54;+47 39 37.5; 7.18;056.36474500;+47.66041482;   5.82;   21.25;  -25.51;  0.83;-0.011; ;056.36482169;+47.66035282
056.3794282734;+42.0069206319; 17549;03 45 31.04;+42 00 25.2; 6.89;056.37934905;+42.00699700;   7.33;   24.22;  -31.42;  0.84;-0.022; ;056.37942827;+42.00692063
056.3804726220;-15.3731789351; 17550;03 45 31.32;-15 22 23.3; 7.61;056.38048878;-15.37314289;   4.97;   -6.41;  -14.83;  1.05; 1.136; ;056.38047262;-15.37317894
056.3828883429;-37.8830534868; 17551;03 45 31.85;-37 52 59.7; 8.82;056.38269110;-37.88325848;   9.42;   64.05;   84.34;  1.04; 0.518; ;056.38288834;-37.88305349
056.3832801506;+21.2466927040; 17552;03 45 31.98;+21 14 48.5; 7.75;056.38323055;+21.24680852;  11.21;   19.02;  -47.65;  1.09; 0.179; ;056.38328015;+21.24669270
056.3880140655;-25.9154762978; 17553;03 45 33.14;-25 54 55.7; 6.97;056.38807811;-25.91547727;   7.32;  -23.70;    0.40;  0.80; 0.283; ;056.38801407;-25.91547630
056.3900656988;+45.3540400497; 17554;03 45 33.57;+45 21 14.7; 7.65;056.38985423;+45.35408397;   7.64;   61.14;  -18.07;  1.04; 0.403; ;056.39006570;+45.35404005
056.3918452139;-42.0486209986; 17555;03 45 34.04;-42 02 55.2; 8.41;056.39181389;-42.04867695;   2.34;    9.57;   23.02;  0.80; 1.491; ;056.39184521;-42.04862100
056.3940816770;+03.2397434275; 17556;03 45 34.57;+03 14 23.1; 7.71;056.39405687;+03.23974474;   1.66;   10.19;   -0.54;  0.91; 1.603; ;056.39408168;+03.23974343
056.4000038378;+13.2473940828; 17557;03 45 36.01;+13 14 50.7;10.10;056.40002279;+13.24740818;   5.01;   -7.59;   -5.80;  1.99; 0.736; ;056.40000384;+13.24739408
056.4045410774;+38.6762624069; 17558;03 45 37.11;+38 40 34.4; 6.45;056.40463454;+38.67621890;   7.09;  -30.02;   17.90;  0.79; 1.195; ;056.40454108;+38.67626241
056.4092496858;-10.2891947622; 17559;03 45 38.20;-10 17 21.1; 9.19;056.40917370;-10.28920429;   5.46;   30.76;    3.92;  1.36; 0.480; ;056.40924969;-10.28919476
056.4105624350;-06.3234662190; 17560;03 45 38.54;-06 19 24.3; 9.19;056.41059963;-06.32340791;   4.03;  -15.21;  -23.99;  1.26; 1.047; ;056.41056243;-06.32346622
056.4131688430;+32.4400378682; 17561;03 45 39.16;+32 26 24.2; 9.32;056.41315332;+32.44005758;   4.10;    5.39;   -8.11;  2.12;      ;D;056.41316884;+32.44003787
056.4143483901;-17.1434646839; 17562;03 45 39.36;-17 08 36.5; 8.14;056.41399692;-17.14346483;  10.71;  138.18;    0.06;  1.04; 0.415; ;056.41434839;-17.14346468
056.4185104543;+06.0499911090; 17563;03 45 40.43;+06 03 00.1; 5.34;056.41846008;+06.05002905;   5.54;   20.61;  -15.61;  0.80;-0.099; ;056.41851045;+06.04999111
056.4195366069;-47.5051318295; 17564;03 45 40.62;-47 30 19.7; 9.54;056.41925355;-47.50545925;   6.59;   78.67;  134.71;  1.03; 0.578; ;056.41953661;-47.50513183
056.4292600031;-30.0903938829; 17565;03 45 43.02;-30 05 25.5; 8.52;056.42925534;-30.09041131;   3.13;    1.66;    7.17;  1.15; 1.389; ;056.42926000;-30.09039388
056.4336894317;+66.5386852887; 17566;03 45 44.10;+66 32 19.3;10.28;056.43377020;+66.53869032;   1.70;  -13.23;   -2.07;  1.85; 0.446; ;056.43368943;+66.53868529
056.4355500813;+00.6172783114; 17567;03 45 44.51;+00 37 02.5; 8.25;056.43544561;+00.61735011;  10.48;   42.98;  -29.54;  1.11; 0.432; ;056.43555008;+00.61727831
056.4354656992;+58.8558136763; 17568;03 45 44.59;+58 51 21.9; 7.76;056.43579302;+58.85608201;  18.32;  -69.65; -110.40;  0.95; 0.451; ;056.43546570;+58.85581368
056.4401699815;-32.4813053662; 17569;03 45 45.64;-32 28 52.8; 8.48;056.44017560;-32.48132221;   4.67;   -1.95;    6.93;  0.93; 0.424; ;056.44016998;-32.48130537
056.4443878345;+57.8707045995; 17570;03 45 46.63;+57 52 13.5; 8.46;056.44429081;+57.87040586;  14.01;   21.23;  122.91;  0.98; 0.476; ;056.44438783;+57.87070460
056.4513793640;+33.6322159328; 17571;03 45 48.34;+33 37 56.0;10.31;056.45141022;+33.63221953;   4.76;  -10.57;   -1.48;  1.95; 0.550; ;056.45137936;+33.63221593
056.4533975689;+23.1471487746; 17572;03 45 48.80;+23 08 50.1; 6.85;056.45334190;+23.14725691;   9.68;   21.06;  -44.49;  1.03; 0.060; ;056.45339757;+23.14714877
056.4563665607;-44.6182637757; 17574;03 45 49.53;-44 37 05.8; 9.83;056.45636639;-44.61827955;   4.28;    0.05;    6.49;  1.17; 0.506; ;056.45636656;-44.61826378
056.4566943135;+24.3677485121; 17573;03 45 49.59;+24 22 04.3; 3.87;056.45663804;+24.36785796;   9.06;   21.09;  -45.03;  1.03;-0.063; ;056.45669431;+24.36774851
056.4607065957;+55.0638081449; 17575;03 45 50.56;+55 03 50.0; 6.83;056.46067731;+55.06387744;  11.43;    6.90;  -28.51;  0.75; 0.210; ;056.46070660;+55.06380814
056.4633755795;-38.5832408239; 17576;03 45 51.20;-38 34 59.6; 8.26;056.46335170;-38.58322381;   3.27;    7.68;   -7.00;  0.88; 1.043; ;056.46337558;-38.58324082
056.4717923197;+45.5999364089; 17577;03 45 53.21;+45 36 00.0; 7.58;056.47171645;+45.60000602;   6.35;   21.84;  -28.64;  0.99; 0.065; ;056.47179232;+45.59993641
056.4727897951;+00.2226870071; 17578;03 45 53.47;+00 13 21.7; 7.40;056.47278192;+00.22268183;   3.91;    3.24;    2.13;  1.00; 1.606; ;056.47278980;+00.22268701
056.4769847278;+24.5545110300; 17579;03 45 54.46;+24 33 16.6; 5.76;056.47693278;+24.55462128;   8.43;   19.44;  -45.36;  0.89;-0.036; ;056.47698473;+24.55451103
056.4895884104;+06.3641460206; 17581;03 45 57.49;+06 21 50.9; 9.94;056.48953243;+06.36414884;   4.03;   22.89;   -1.16;  1.56; 0.661; ;056.48958841;+06.36414602
056.4891301512;+73.0349610386; 17580;03 45 57.49;+73 02 05.5; 8.34;056.48954931;+73.03486773;  11.50;  -50.32;   38.39;  1.55; 0.602; ;056.48913015;+73.03496104
056.4900232145;-09.0085152898; 17582;03 45 57.57;-09 00 30.6; 7.92;056.48988405;-09.00850671;   5.51;   56.55;   -3.53;  1.15; 0.903; ;056.49002321;-09.00851529
056.4964117288;+25.3985896022; 17583;03 45 59.13;+25 23 55.3; 8.04;056.49636093;+25.39870238;   8.50;   18.88;  -46.40;  1.17; 0.213; ;056.49641173;+25.39858960
056.4969155068;+45.6818995005; 17584;03 45 59.25;+45 40 55.0; 5.66;056.49685459;+45.68194432;   3.14;   17.51;  -18.44;  0.78;-0.080; ;056.49691551;+45.68189950
056.5039135123;+67.2016053271; 17585;03 46 00.82;+67 12 06.8; 5.79;056.50339866;+67.20188088;  18.06;   82.08; -113.37;  0.62; 0.347; ;056.50391351;+67.20160533
056.5041840927;+18.5667048767; 17586;03 46 01.01;+18 34 00.3; 9.16;056.50418799;+18.56674046;   4.65;   -1.52;  -14.64;  1.31; 0.280; ;056.50418409;+18.56670488
056.5097142772;+63.3450472790; 17587;03 46 02.33;+63 20 42.2; 4.78;056.50971937;+63.34506772;   4.08;   -0.94;   -8.41;  0.66; 0.747; ;056.50971428;+63.34504728
056.5120847888;+24.5278980319; 17588;03 46 02.89;+24 31 40.8; 6.43;056.51203181;+24.52800590;   9.21;   19.83;  -44.38;  0.92;-0.020; ;056.51208479;+24.52789803
056.5199487476;+21.9984719888; 17589;03 46 04.87;+21 59 55.7; 9.46;056.52027839;+21.99881076;  13.58; -125.75; -139.38;  1.89; 0.676; ;056.51994875;+21.99847199
056.5258053617;+53.9053038937; 17590;03 46 06.22;+53 54 19.1; 7.88;056.52590211;+53.90529755;   1.45;  -23.45;    2.61;  1.18; 2.253; ;056.52580536;+53.90530389
056.5261292859;+10.5488323619; 17591;03 46 06.28;+10 32 55.7; 7.59;056.52615663;+10.54880548;   6.50;  -11.06;   11.06;  1.05; 1.059; ;056.52612929;+10.54883236
056.5280785556;+27.3461939114; 17592;03 46 06.74;+27 20 46.4; 9.61;056.52808017;+27.34623421;   4.84;   -0.59;  -16.58;  1.48; 1.346; ;056.52807856;+27.34619391
056.5355649054;-12.1015893937; 17593;03 46 08.50;-12 06 06.2; 4.43;056.53542672;-12.10173530;   6.56;   55.59;   60.03;  0.80; 1.604; ;056.53556491;-12.10158939
056.5365426140;-36.1354604560; 17594;03 46 08.77;-36 08 07.5; 8.86;056.53654135;-36.13543039;   0.75;    0.42;  -12.37;  0.97; 1.323; ;056.53654261;-36.13546046
056.5390117450;+06.8035205186; 17595;03 46 09.36;+06 48 13.2; 5.91;056.53901620;+06.80365522;   9.68;   -1.82;  -55.42;  0.83; 0.992; ;056.53901175;+06.80352052
056.5396098314;+28.8592922158; 17596;03 46 09.51;+28 51 33.5; 7.90;056.53960528;+28.85930957;   3.98;    1.64;   -7.14;  1.20; 1.403; ;056.53960983;+28.85929222
056.5399056971;-41.2062043363; 17597;03 46 09.53;-41 12 22.5; 9.26;056.53968947;-41.20626284;  12.09;   66.93;   24.07;  1.00; 0.690; ;056.53990570;-41.20620434
056.5425064930;-23.0837753780; 17598;03 46 10.23;-23 05 01.2; 8.82;056.54261939;-23.08365876;   6.17;  -42.73;  -47.98;  1.22; 0.873; ;056.54250649;-23.08377538
056.5522797206;-25.5319259654; 17599;03 46 12.55;-25 31 54.8; 8.84;056.55229300;-25.53188783;   1.88;   -4.93;  -15.69;  1.27; 1.589; ;056.55227972;-25.53192597
056.5548907212;-24.3909749730; 17600;03 46 13.16;-24 23 27.7; 8.65;056.55481645;-24.39103073;   6.81;   27.83;   22.94;  1.72; 0.589; ;056.55489072;-24.39097497
056.5553181119;-09.8827808832; 17601;03 46 13.27;-09 52 58.1; 6.87;056.55530210;-09.88280497;   6.52;    6.49;    9.91;  0.99; 1.142; ;056.55531811;-09.88278088
056.5578151006;+71.6181268976; 17602;03 46 13.89;+71 37 05.2; 6.97;056.55785649;+71.61810704;   6.68;   -5.37;    8.17;  0.80; 0.965; ;056.55781510;+71.61812690
056.5641363205;+42.4546098622; 17603;03 46 15.32;+42 27 17.1; 8.77;056.56381447;+42.45475363;  11.42;   97.70;  -59.15;  1.24; 0.605; ;056.56413632;+42.45460986
056.5650625972;-66.5040946132; 17604;03 46 15.64;-66 30 14.5; 7.66;056.56515569;-66.50403295;   4.94;  -15.27;  -25.37;  0.68; 0.367; ;056.56506260;-66.50409461
056.5671727207;+07.6926106040; 17605;03 46 16.06;+07 41 34.0;10.09;056.56692243;+07.69278242;   6.63;  102.05;  -70.69;  1.68; 0.680; ;056.56717272;+07.69261060
056.5765753344;-47.8943223921; 17606;03 46 18.33;-47 53 39.6; 8.08;056.57638843;-47.89432492;   6.48;   51.56;    1.04;  1.11; 0.400;D;056.57657533;-47.89432239
056.5805684315;+20.8797882619; 17607;03 46 19.33;+20 52 47.6;11.54;056.58053183;+20.87989263;   4.16;   14.07;  -42.94;  3.43; 0.843; ;056.58056843;+20.87978826
056.5815576518;+23.9483583582; 17608;03 46 19.56;+23 56 54.5; 4.14;056.58150135;+23.94846207;   9.08;   21.17;  -42.67;  1.04;-0.051; ;056.58155765;+23.94835836
056.5839170694;+26.2155011673; 17609;03 46 19.89;+26 12 57.5; 9.61;056.58286876;+26.21598281;  68.62;  386.94; -198.16;  1.78; 1.437; ;056.58391707;+26.21550117
056.5856197403;+16.3741321818; 17610;03 46 20.53;+16 22 26.9; 8.09;056.58553186;+16.37412822;   8.23;   34.69;    1.63;  1.10; 0.359; ;056.58561974;+16.37413218
056.5934499949;+42.1137811081; 17611;03 46 22.42;+42 06 49.6;10.10;056.59343394;+42.11378524;   1.90;    4.90;   -1.70;  1.58; 0.441; ;056.59344999;+42.11378111
056.5964347039;-08.1684380286; 17612;03 46 23.13;-08 10 06.4; 8.37;056.59638557;-08.16843273;   0.88;   20.01;   -2.18;  1.83; 0.350; ;056.59643470;-08.16843803
056.5975729679;+27.7757742954; 17613;03 46 23.42;+27 46 32.8; 9.24;056.59758272;+27.77578516;   1.43;   -3.55;   -4.47;  1.36;-0.020; ;056.59757297;+27.77577430
056.6063277192;+17.9176930546; 17614;03 46 25.51;+17 55 03.9; 9.87;056.60629257;+17.91775569;   2.03;   13.76;  -25.77;  1.94; 0.657; ;056.60632772;+17.91769305
056.6066544218;+03.7545797112; 17615;03 46 25.59;+03 45 16.5;10.07;056.60660461;+03.75457293;  -1.21;   20.45;    2.79;  1.63; 0.982; ;056.60665442;+03.75457971
056.6076140703;+29.6720635992; 17616;03 46 25.84;+29 40 19.7; 8.38;056.60764624;+29.67214862;   5.45;  -11.50;  -34.98;  1.10; 0.213; ;056.60761407;+29.67206360
056.6093909330;+13.5090998817; 17617;03 46 26.24;+13 30 33.0; 6.88;056.60932939;+13.50916609;   6.11;   24.62;  -27.24;  1.11; 0.069; ;056.60939093;+13.50909988
056.6142855690;-29.3381568239; 17618;03 46 27.42;-29 20 17.4; 5.91;056.61426555;-29.33816606;   9.90;    7.18;    3.80;  0.72; 0.110; ;056.61428557;-29.33815682
056.6163622033;+37.1478040585; 17619;03 46 27.94;+37 08 52.1; 8.54;056.61640404;+37.14780943;   2.72;  -13.72;   -2.21;  1.23; 1.162; ;056.61636220;+37.14780406
056.6204859208;+61.7215930678; 17620;03 46 28.91;+61 43 17.7; 9.52;056.62047330;+61.72159579;   0.39;    2.46;   -1.12;  1.16; 0.167; ;056.62048592;+61.72159307
056.6262700059;-22.2999522968; 17621;03 46 30.20;-22 18 02.1;11.13;056.62585328;-22.30057678;  22.17;  158.63;  256.93;  2.44;      ; ;056.62627001;-22.29995230
056.6319251914;+33.8655360714; 17622;03 46 31.66;+33 51 56.0;10.38;056.63191480;+33.86555362;   3.77;    3.55;   -7.22;  1.99; 0.330; ;056.63192519;+33.86553607
056.6319928797;-15.2488843479; 17623;03 46 31.67;-15 14 56.0; 8.20;056.63197852;-15.24889040;   4.76;    5.70;    2.49;  1.02; 0.020; ;056.63199288;-15.24888435
056.6397755066;-76.7159302857; 17624;03 46 33.52;-76 42 57.4; 8.06;056.63966719;-76.71594956;   0.91;   10.24;    7.93;  0.62;-0.042; ;056.63977551;-76.71593029
056.6451223623;+25.8438587143; 17625;03 46 34.82;+25 50 38.3; 8.72;056.64506816;+25.84397069;   4.73;   20.07;  -46.07;  1.48; 0.355; ;056.64512236;+25.84385871
056.6511305782;+43.5060763394; 17626;03 46 36.25;+43 30 22.1; 9.59;056.65104918;+43.50614352;   4.03;   24.29;  -27.64;  1.47; 0.600; ;056.65113058;+43.50607634
056.6524404400;-09.4423321164; 17627;03 46 36.58;-09 26 32.3; 8.27;056.65243566;-09.44230854;   1.52;    1.94;   -9.70;  1.19; 1.263; ;056.65244044;-09.44233212
056.6536882838;-74.5079493434; 17628;03 46 36.78;-74 30 29.3; 8.01;056.65323221;-74.50814758;   9.71;   50.12;   81.56;  0.71; 0.394; ;056.65368828;-74.50794934
056.6618751572;+36.9545859008; 17629;03 46 38.85;+36 57 16.5;10.99;056.66189073;+36.95459713;  -0.54;   -5.12;   -4.62;  2.58; 0.520; ;056.66187516;+36.95458590
056.6664672852;-32.2114400065; 17630;03 46 39.93;-32 12 41.2; 8.28;056.66639406;-32.21144951;   2.85;   25.49;    3.91;  0.97; 1.133; ;056.66646729;-32.21144001
056.6702960616;+32.2901880026; 17631;03 46 40.87;+32 17 24.7; 6.68;056.67027283;+32.29020752;   4.19;    8.08;   -8.03;  1.03; 0.036;P;056.67029606;+32.29018800
056.6721929913;-59.9407721612; 17632;03 46 41.34;-59 56 26.3; 9.20;056.67226044;-59.94064288;   6.94;  -13.90;  -53.19;  0.89; 0.560; ;056.67219299;-59.94077216
056.6739563429;-69.4458647286; 17633;03 46 41.70;-69 26 45.3; 8.75;056.67374935;-69.44590301;   4.93;   29.90;   15.75;  0.77; 1.000; ;056.67395634;-69.44586473
056.6738213213;+48.8019987637; 17634;03 46 41.72;+48 48 07.2; 7.86;056.67383265;+48.80200117;   1.29;   -3.07;   -0.99;  0.97; 1.000; ;056.67382132;+48.80199876
056.6741767072;-25.3572490369; 17635;03 46 41.79;-25 21 26.3; 7.18;056.67410656;-25.35730703;   5.77;   26.08;   23.86;  0.87; 1.056; ;056.67417671;-25.35724904
056.6796039513;+59.8045140679; 17636;03 46 43.09;+59 48 16.5; 9.57;056.67952663;+59.80458312;   5.17;   16.00;  -28.41;  1.54; 0.370; ;056.67960395;+59.80451407
056.6834365856;-39.8694317351; 17637;03 46 44.05;-39 52 09.5; 9.46;056.68352855;-39.86929244;   8.96;  -29.04;  -57.31;  1.07; 0.534; ;056.68343659;-39.86943174
056.6868652772;-24.8558103154; 17638;03 46 44.85;-24 51 20.9; 7.64;056.68686367;-24.85579318;   1.60;    0.60;   -7.05;  0.96; 1.433; ;056.68686528;-24.85581032
056.6905068421;-30.8537024600; 17639;03 46 45.71;-30 51 13.3; 8.28;056.69045353;-30.85369896;   0.71;   18.83;   -1.44;  0.95; 1.033; ;056.69050684;-30.85370246
056.6996695891;-26.6184179483; 17640;03 46 47.89;-26 37 06.7; 9.36;056.69954113;-26.61853724;   2.13;   47.25;   49.08;  1.53; 0.833; ;056.69966959;-26.61841795
